geometry,borough,tax_block,tax_lot,census_tract_2010,cb2010,council_district,postcode,policeprct,healtharea,address,zonedist1,zonedist2,zonedist3,zonedist4,ltdheight,bldgclass,landuse,easements,ownertype,ownername,lotarea,bldgarea,resarea,garagearea,strgearea,otherarea,areasource,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,proxcode,irrlotcode,lottype,assessland,assesstot,yearbuilt,yearalter1,yearalter2,histdist,landmark,builtfar,residfar,borocode,bbl,tract2010,xcoord,ycoord,latitude,longitude,zonemap,zmcode,appbbl,appdate,plutomapid,dcpedited,notes,bct2020,bctcb2020,yearbuilt_dt,yearalter1_dt,yearalter2_dt
POINT (-73.9378928 40.820504),MN,2013,18,232.0,1001.0,9.0,10030.0,32.0,800.0,125 WEST 144 STREET,R7-2,,,,,C1,2.0,0.0,P,NYC HOUSING AUTHORITY,"5,297","18,230","18,230",0,0,0,2.0,1,5.0,20,20,53.08,99.92,53.08,87.92,3.0,False,5.0,119250.0,666450.0,1920.0,"1,989",0,,,3.44,3.44,1,1020130018,232.0,1001440.0,238215.0,40.820504,-73.9378928,6a,,,,1,t,,1023200.0,10232001001.0,1920-01-01,1989-01-01,
POINT (-73.9373908 40.8202924),MN,2013,24,232.0,1001.0,9.0,10030.0,32.0,800.0,113 WEST 144 STREET,R7-2,,,,,C1,2.0,0.0,O,NYC HOUSING AUTHORITY,"5,297","18,230","18,230",0,0,0,2.0,1,5.0,20,20,53.08,99.92,53.08,87.92,3.0,False,5.0,119250.0,668250.0,1922.0,"1,989",0,,,3.44,3.44,1,1020130024,232.0,1001579.0,238138.0,40.8202924,-73.9373908,6a,,,,1,t,,1023200.0,10232001001.0,1922-01-01,1989-01-01,
POINT (-73.9399385 40.8197393),MN,2011,1,232.0,2001.0,9.0,10030.0,32.0,800.0,2441 ADAM C POWELL BLVD,R7-2,,,,,D1,3.0,0.0,O,NYC HOUSING AUTHORITY,"10,691","61,976","61,976",0,0,0,2.0,1,7.0,62,62,99.92,107,99.92,102.0,1.0,False,3.0,240750.0,3154500.0,1910.0,"1,992",0,,,5.8,3.44,1,1020110001,232.0,1000874.0,237936.0,40.8197393,-73.9399385,6a,,,,1,t,,1023200.0,10232002001.0,1910-01-01,1992-01-01,
POINT (-73.9395478 40.8202963),MN,2012,1,232.0,2000.0,9.0,10030.0,32.0,800.0,2461 ADAM C POWELL BLVD,R7-2,,,,,C7,4.0,0.0,O,NYC HOUSING AUTHORITY,"4,292","17,161","14,000",0,0,0,2.0,1,5.0,17,20,42.92,100,42.92,90.0,2.0,False,3.0,96750.0,747000.0,1920.0,"1,991",0,,,4.0,3.44,1,1020120001,232.0,1000982.0,238139.0,40.8202963,-73.9395478,6a,,,,1,t,,1023200.0,10232002000.0,1920-01-01,1991-01-01,
POINT (-73.9392768 40.8202687),MN,2012,6,232.0,2000.0,9.0,10030.0,32.0,800.0,163 WEST 143 STREET,R7-2,,,,,C1,2.0,0.0,O,NYC HOUSING AUTHORITY,"3,747","13,580","13,580",0,0,0,2.0,1,5.0,15,15,37.5,99.92,37.5,87.92,3.0,False,5.0,84150.0,715950.0,1920.0,"1,992",0,,,3.62,3.44,1,1020120006,232.0,1001057.0,238129.0,40.8202687,-73.9392768,6a,,,,1,t,,1023200.0,10232002000.0,1920-01-01,1992-01-01,
POINT (-73.9397218 40.8196459),MN,2011,7,232.0,2001.0,9.0,10030.0,32.0,800.0,157 WEST 142 STREET,R7-2,,,,,Q2,9.0,0.0,O,NYC HOUSING AUTHORITY,"2,698",0,,,,,7.0,0,,0,0,27,99.92,0,0.0,0.0,False,5.0,31055.0,31055.0,0.0,0,0,,,0.0,3.44,1,1020110007,232.0,1000934.0,237902.0,40.8196459,-73.9397218,6a,,,,1,t,,1023200.0,10232002001.0,,,
POINT (-73.9396351 40.8196102),MN,2011,8,232.0,2001.0,9.0,10030.0,32.0,800.0,155 WEST 142 STREET,R7-2,,,,,Q2,9.0,0.0,O,NYC HOUSING AUTHORITY,"2,698",0,,,,,7.0,0,,0,0,27,99.92,0,0.0,0.0,False,5.0,31055.0,31055.0,0.0,0,0,,,0.0,3.44,1,1020110008,232.0,1000958.0,237889.0,40.8196102,-73.9396351,6a,,,,1,t,,1023200.0,10232002001.0,,,
POINT (-73.9393823 40.819503),MN,2011,11,232.0,2001.0,9.0,10030.0,32.0,800.0,149 WEST 142 STREET,R7-2,,,,,C4,2.0,0.0,O,NYC HOUSING AUTHORITY,"2,698","10,210","10,210",0,0,0,2.0,1,5.0,10,10,27,99.92,27,86.0,0.0,False,5.0,361350.0,570150.0,1910.0,"1,989",0,,,3.78,3.44,1,1020110011,232.0,1001028.0,237850.0,40.819503,-73.9393823,6a,,,,1,t,,1023200.0,10232002001.0,1910-01-01,1989-01-01,
POINT (-73.9394067 40.8204883),MN,2012,64,232.0,2000.0,9.0,10030.0,32.0,800.0,2469 ADAM C POWELL BLVD,R7-2,,,,,C7,4.0,0.0,O,NYC HOUSING AUTHORITY,"3,800","13,168","11,498",0,0,0,2.0,1,5.0,13,15,38,100,38,88.0,3.0,False,5.0,85500.0,649800.0,1920.0,"1,989",0,,,3.47,3.44,1,1020120064,232.0,1001021.0,238209.0,40.8204883,-73.9394067,6a,,,,1,t,,1023200.0,10232002000.0,1920-01-01,1989-01-01,
POINT (-73.9411338 40.8204096),MN,2028,16,232.0,3001.0,9.0,10030.0,32.0,800.0,200 WEST 143 STREET,R7-2,,,,,D6,4.0,0.0,O,NYC HOUSING AUTHORITY,"82,429","219,894","214,894",0,0,0,2.0,4,20.0,240,245,199.92,425,200,310.0,1.0,True,2.0,1854000.0,9827550.0,1963.0,0,0,,,2.67,3.44,1,1020280016,232.0,1000543.0,238180.0,40.8204096,-73.9411338,6a,,,,1,t,,1023200.0,10232003001.0,1963-01-01,,
