development,tds_#,building_#,stairhall#,borough,house_#,street,address,city,state,zip_code,bin,block,lot,borough/block/lot_#,census_tract_(2020),neighborhood_tabulation_area_code,neighborhood_tabulation_area_name,community_district,city_council_district,state_assembly_district,state_senate_district,us_congressional_district,privately_managed,latitude,longitude,geometry
AMSTERDAM,22,7,13,MANHATTAN,228,WEST 62ND STREET,228 WEST 62ND STREET,NEW YORK,NY,"10,023",1082580,1154,101,1011540101,"15,101",MN0701,Upper West Side-Lincoln Square,7,6,67,47,12,,40.773016,-73.987603,POINT (-73.987603 40.773016)
AMSTERDAM,22,8,14,MANHATTAN,229,WEST 62ND STREET,229 WEST 62ND STREET,NEW YORK,NY,"10,023",1082581,1154,101,1011540101,"15,101",MN0701,Upper West Side-Lincoln Square,7,6,67,47,12,,40.773149,-73.987499,POINT (-73.987499 40.773149)
AMSTERDAM,22,8,15,MANHATTAN,228,WEST 63RD STREET,228 WEST 63RD STREET,NEW YORK,NY,"10,023",1082581,1154,101,1011540101,"15,101",MN0701,Upper West Side-Lincoln Square,7,6,67,47,12,,40.773447,-73.987291,POINT (-73.987291 40.773447)
AMSTERDAM,22,9,16,MANHATTAN,242,WEST 62ND STREET,242 WEST 62ND STREET,NEW YORK,NY,"10,023",1082583,1154,101,1011540101,"15,101",MN0701,Upper West Side-Lincoln Square,7,6,67,47,12,,40.773233,-73.98811,POINT (-73.98811 40.773233)
AMSTERDAM,22,10,17,MANHATTAN,241,WEST 62ND STREET,241 WEST 62ND STREET,NEW YORK,NY,"10,023",1082582,1154,101,1011540101,"15,101",MN0701,Upper West Side-Lincoln Square,7,6,67,47,12,,40.773366,-73.988021,POINT (-73.988021 40.773366)
AMSTERDAM,22,10,18,MANHATTAN,242,WEST 63RD STREET,242 WEST 63RD STREET,NEW YORK,NY,"10,023",1082582,1154,101,1011540101,"15,101",MN0701,Upper West Side-Lincoln Square,7,6,67,47,12,,40.77366,-73.987789,POINT (-73.987789 40.77366)
AMSTERDAM,22,11,19,MANHATTAN,249,WEST 61ST STREET,249 WEST 61ST STREET,NEW YORK,NY,"10,023",1082584,1154,101,1011540101,"15,101",MN0701,Upper West Side-Lincoln Square,7,6,67,47,12,,40.772793,-73.989119,POINT (-73.989119 40.772793)
AMSTERDAM,22,11,20,MANHATTAN,250,WEST 61ST DRIVE,250 WEST 61ST DRIVE,NEW YORK,NY,"10,023",1082584,1154,101,1011540101,"15,101",MN0701,Upper West Side-Lincoln Square,7,6,67,47,12,,40.773062,-73.988926,POINT (-73.988926 40.773062)
AMSTERDAM,22,12,21,MANHATTAN,247,WEST 61ST DRIVE,247 WEST 61ST DRIVE,NEW YORK,NY,"10,023",1082585,1154,101,1011540101,"15,101",MN0701,Upper West Side-Lincoln Square,7,6,67,47,12,,40.773168,-73.988775,POINT (-73.988775 40.773168)
AMSTERDAM,22,12,22,MANHATTAN,248,WEST 62ND STREET,248 WEST 62ND STREET,NEW YORK,NY,"10,023",1082585,1154,101,1011540101,"15,101",MN0701,Upper West Side-Lincoln Square,7,6,67,47,12,,40.773437,-73.988581,POINT (-73.988581 40.773437)
