development,tds_#,building_#,stairhall#,borough,house_#,street,address,city,state,zip_code,bin,block,lot,borough/block/lot_#,census_tract_(2020),neighborhood_tabulation_area_code,neighborhood_tabulation_area_name,community_district,city_council_district,state_assembly_district,state_senate_district,us_congressional_district,privately_managed,latitude,longitude,geometry
HUNTS POINT AVENUE REHAB,367,10,25,BRONX,859,HUNTS POINT AVENUE,859 HUNTS POINT AVENUE,BRONX,NY,"10,474",2005947,2740,16,2027400016,"9,301",BX0201,Hunts Point,2,17,85,29,14,YES,40.818241,-73.88915,POINT (-73.88915 40.818241)
HUNTS POINT AVENUE REHAB,367,11,26,BRONX,863,HUNTS POINT AVENUE,863 HUNTS POINT AVENUE,BRONX,NY,"10,474",2005946,2740,15,2027400015,"9,301",BX0201,Hunts Point,2,17,85,29,14,YES,40.818339,-73.889225,POINT (-73.889225 40.818339)
HUNTS POINT AVENUE REHAB,367,12,27,BRONX,867,HUNTS POINT AVENUE,867 HUNTS POINT AVENUE,BRONX,NY,"10,474",2005945,2740,13,2027400013,"9,301",BX0201,Hunts Point,2,17,85,29,14,YES,40.818443,-73.889276,POINT (-73.889276 40.818443)
HUNTS POINT AVENUE REHAB,367,13,28,BRONX,875,IRVINE STREET,875 IRVINE STREET,BRONX,NY,"10,474",2006319,2761,3,2027610003,"11,502",BX0201,Hunts Point,2,17,85,29,14,YES,40.818911,-73.888793,POINT (-73.888793 40.818911)
HYLAN,109,1,9,BROOKLYN,131,MOORE STREET,131 MOORE STREET,BROOKLYN,NY,"11,206",3071469,3098,1,3030980001,489,BK0104,East Williamsburg,1,34,53,18,7,,40.704207,-73.940235,POINT (-73.940235 40.704207)
INGERSOLL,14,16,33,BROOKLYN,110,MONUMENT WALK,110 MONUMENT WALK,BROOKLYN,NY,"11,205",3335228,2034,1,3020340001,"2,901",BK0203,Fort Greene,2,35,57,25,7,,40.693796,-73.97865,POINT (-73.97865 40.693796)
INGERSOLL,14,16,34,BROOKLYN,102,MONUMENT WALK,102 MONUMENT WALK,BROOKLYN,NY,"11,205",3335228,2034,1,3020340001,"2,901",BK0203,Fort Greene,2,35,57,25,7,,40.693963,-73.978936,POINT (-73.978936 40.693963)
INGERSOLL,14,17,35,BROOKLYN,87,MONUMENT WALK,87 MONUMENT WALK,BROOKLYN,NY,"11,205",3345036,2034,1,3020340001,"2,901",BK0203,Fort Greene,2,35,57,25,7,,40.694295,-73.978596,POINT (-73.978596 40.694295)
INGERSOLL,14,17,36,BROOKLYN,88,SAINT EDWARDS STREET,88 SAINT EDWARDS STREET,BROOKLYN,NY,"11,205",3345036,2034,1,3020340001,"2,901",BK0203,Fort Greene,2,35,57,25,7,,40.694352,-73.978805,POINT (-73.978805 40.694352)
INGERSOLL,14,17,37,BROOKLYN,82,SAINT EDWARDS STREET,82 SAINT EDWARDS STREET,BROOKLYN,NY,"11,205",3345036,2034,1,3020340001,"2,901",BK0203,Fort Greene,2,35,57,25,7,,40.694519,-73.978855,POINT (-73.978855 40.694519)
INGERSOLL,14,18,38,BROOKLYN,88,MONUMENT WALK,88 MONUMENT WALK,BROOKLYN,NY,"11,205",3335229,2034,1,3020340001,"2,901",BK0203,Fort Greene,2,35,57,25,7,,40.694305,-73.979271,POINT (-73.979271 40.694305)
INGERSOLL,14,18,39,BROOKLYN,80,MONUMENT WALK,80 MONUMENT WALK,BROOKLYN,NY,"11,205",3335229,2034,1,3020340001,"2,901",BK0203,Fort Greene,2,35,57,25,7,,40.694469,-73.979299,POINT (-73.979299 40.694469)
INGERSOLL,14,18,40,BROOKLYN,78,MONUMENT WALK,78 MONUMENT WALK,BROOKLYN,NY,"11,205",3335229,2034,1,3020340001,"2,901",BK0203,Fort Greene,2,35,57,25,7,,40.694519,-73.979612,POINT (-73.979612 40.694519)
INGERSOLL,14,19,41,BROOKLYN,74,SAINT EDWARDS STREET,74 SAINT EDWARDS STREET,BROOKLYN,NY,"11,205",3335233,2034,1,3020340001,"2,901",BK0203,Fort Greene,2,35,57,25,7,,40.694829,-73.978435,POINT (-73.978435 40.694829)
INGERSOLL,14,19,42,BROOKLYN,55,MONUMENT WALK,55 MONUMENT WALK,BROOKLYN,NY,"11,205",3335233,2034,1,3020340001,"2,901",BK0203,Fort Greene,2,35,57,25,7,,40.694961,-73.978572,POINT (-73.978572 40.694961)
INGERSOLL,14,19,43,BROOKLYN,64,SAINT EDWARDS STREET,64 SAINT EDWARDS STREET,BROOKLYN,NY,"11,205",3335233,2034,1,3020340001,"2,901",BK0203,Fort Greene,2,35,57,25,7,,40.69503,-73.978817,POINT (-73.978817 40.69503)
INGERSOLL,14,19,44,BROOKLYN,60,SAINT EDWARDS STREET,60 SAINT EDWARDS STREET,BROOKLYN,NY,"11,205",3335233,2034,1,3020340001,"2,901",BK0203,Fort Greene,2,35,57,25,7,,40.695188,-73.97884,POINT (-73.97884 40.695188)
INGERSOLL,14,20,45,BROOKLYN,56,MONUMENT WALK,56 MONUMENT WALK,BROOKLYN,NY,"11,205",3335230,2034,1,3020340001,"2,901",BK0203,Fort Greene,2,35,57,25,7,,40.69496,-73.979441,POINT (-73.979441 40.69496)
INGERSOLL,14,20,46,BROOKLYN,50,MONUMENT WALK,50 MONUMENT WALK,BROOKLYN,NY,"11,205",3335230,2034,1,3020340001,"2,901",BK0203,Fort Greene,2,35,57,25,7,,40.695118,-73.979585,POINT (-73.979585 40.695118)
INGERSOLL,14,20,47,BROOKLYN,48,MONUMENT WALK,48 MONUMENT WALK,BROOKLYN,NY,"11,205",3335230,2034,1,3020340001,"2,901",BK0203,Fort Greene,2,35,57,25,7,,40.695097,-73.97981,POINT (-73.97981 40.695097)
INGERSOLL,14,21,48,BROOKLYN,46,SAINT EDWARDS STREET,46 SAINT EDWARDS STREET,BROOKLYN,NY,"11,205",3345032,2034,1,3020340001,"2,901",BK0203,Fort Greene,2,35,57,25,7,,40.695884,-73.978579,POINT (-73.978579 40.695884)
INGERSOLL,14,21,49,BROOKLYN,36,SAINT EDWARDS STREET,36 SAINT EDWARDS STREET,BROOKLYN,NY,"11,205",3345032,2034,1,3020340001,"2,901",BK0203,Fort Greene,2,35,57,25,7,,40.695616,-73.978522,POINT (-73.978522 40.695616)
INGERSOLL,14,22,50,BROOKLYN,25,MONUMENT WALK,25 MONUMENT WALK,BROOKLYN,NY,"11,205",3335232,2034,1,3020340001,"2,901",BK0203,Fort Greene,2,35,57,25,7,,40.695591,-73.979218,POINT (-73.979218 40.695591)
INGERSOLL,14,22,51,BROOKLYN,9,MONUMENT WALK,9 MONUMENT WALK,BROOKLYN,NY,"11,205",3335232,2034,1,3020340001,"2,901",BK0203,Fort Greene,2,35,57,25,7,,40.69592,-73.979202,POINT (-73.979202 40.69592)
INGERSOLL,14,23,52,BROOKLYN,24,MONUMENT WALK,24 MONUMENT WALK,BROOKLYN,NY,"11,205",3335231,2034,1,3020340001,"2,901",BK0203,Fort Greene,2,35,57,25,7,,40.695612,-73.979861,POINT (-73.979861 40.695612)
INGERSOLL,14,23,53,BROOKLYN,8,MONUMENT WALK,8 MONUMENT WALK,BROOKLYN,NY,"11,205",3335231,2034,1,3020340001,"2,901",BK0203,Fort Greene,2,35,57,25,7,,40.695938,-73.979844,POINT (-73.979844 40.695938)
INGERSOLL,14,24,54,BROOKLYN,151,NAVY WALK,151 NAVY WALK,BROOKLYN,NY,"11,201",3257040,2050,1,3020500001,"1,501",BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,2,35,57,25,7,,40.693838,-73.979803,POINT (-73.979803 40.693838)
INGERSOLL,14,24,55,BROOKLYN,143,NAVY WALK,143 NAVY WALK,BROOKLYN,NY,"11,201",3257040,2050,1,3020500001,"1,501",BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,2,35,57,25,7,,40.694047,-73.979977,POINT (-73.979977 40.694047)
INGERSOLL,14,25,56,BROOKLYN,162,NAVY WALK,162 NAVY WALK,BROOKLYN,NY,"11,201",3257039,2050,1,3020500001,"1,501",BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,2,35,57,25,7,,40.693872,-73.980498,POINT (-73.980498 40.693872)
INGERSOLL,14,25,57,BROOKLYN,160,NAVY WALK,160 NAVY WALK,BROOKLYN,NY,"11,201",3257039,2050,1,3020500001,"1,501",BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,2,35,57,25,7,,40.693878,-73.980658,POINT (-73.980658 40.693878)
INGERSOLL,14,26,58,BROOKLYN,342,HUDSON WALK,342 HUDSON WALK,BROOKLYN,NY,"11,201",3257036,2050,1,3020500001,"1,501",BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,2,35,57,25,7,,40.694044,-73.981258,POINT (-73.981258 40.694044)
INGERSOLL,14,26,59,BROOKLYN,340,HUDSON WALK,340 HUDSON WALK,BROOKLYN,NY,"11,201",3257036,2050,1,3020500001,"1,501",BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,2,35,57,25,7,,40.694046,-73.981383,POINT (-73.981383 40.694046)
INGERSOLL,14,27,60,BROOKLYN,60,FLEET WALK,60 FLEET WALK,BROOKLYN,NY,"11,201",3257035,2050,1,3020500001,"1,501",BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,2,35,57,25,7,,40.694068,-73.981941,POINT (-73.981941 40.694068)
INGERSOLL,14,27,61,BROOKLYN,58,FLEET WALK,58 FLEET WALK,BROOKLYN,NY,"11,201",3257035,2050,1,3020500001,"1,501",BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,2,35,57,25,7,,40.69407,-73.98209,POINT (-73.98209 40.69407)
INGERSOLL,14,28,62,BROOKLYN,133,NAVY WALK,133 NAVY WALK,BROOKLYN,NY,"11,201",3257041,2050,1,3020500001,"1,501",BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,2,35,57,25,7,,40.694283,-73.980402,POINT (-73.980402 40.694283)
INGERSOLL,14,28,63,BROOKLYN,125,NAVY WALK,125 NAVY WALK,BROOKLYN,NY,"11,201",3257041,2050,1,3020500001,"1,501",BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,2,35,57,25,7,,40.69452,-73.980469,POINT (-73.980469 40.69452)
INGERSOLL,14,29,64,BROOKLYN,330,HUDSON WALK,330 HUDSON WALK,BROOKLYN,NY,"11,201",3257038,2050,1,3020500001,"1,501",BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,2,35,57,25,7,,40.694487,-73.981117,POINT (-73.981117 40.694487)
INGERSOLL,14,29,65,BROOKLYN,45,FLEET WALK,45 FLEET WALK,BROOKLYN,NY,"11,201",3257038,2050,1,3020500001,"1,501",BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,2,35,57,25,7,,40.694496,-73.981411,POINT (-73.981411 40.694496)
INGERSOLL,14,30,66,BROOKLYN,48,FLEET WALK,48 FLEET WALK,BROOKLYN,NY,"11,201",3257037,2050,1,3020500001,"1,501",BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,2,35,57,25,7,,40.694403,-73.98206,POINT (-73.98206 40.694403)
INGERSOLL,14,30,67,BROOKLYN,38,FLEET WALK,38 FLEET WALK,BROOKLYN,NY,"11,201",3257037,2050,1,3020500001,"1,501",BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,2,35,57,25,7,,40.694641,-73.982092,POINT (-73.982092 40.694641)
INGERSOLL,14,31,68,BROOKLYN,31,FLEET WALK,31 FLEET WALK,BROOKLYN,NY,"11,201",3257043,2050,1,3020500001,"1,501",BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,2,35,57,25,7,,40.694922,-73.980991,POINT (-73.980991 40.694922)
INGERSOLL,14,31,69,BROOKLYN,29,FLEET WALK,29 FLEET WALK,BROOKLYN,NY,"11,201",3257043,2050,1,3020500001,"1,501",BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,2,35,57,25,7,,40.694926,-73.98115,POINT (-73.98115 40.694926)
INGERSOLL,14,32,70,BROOKLYN,30,FLEET WALK,30 FLEET WALK,BROOKLYN,NY,"11,201",3257042,2050,1,3020500001,"1,501",BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,2,35,57,25,7,,40.694998,-73.981867,POINT (-73.981867 40.694998)
INGERSOLL,14,32,71,BROOKLYN,28,FLEET WALK,28 FLEET WALK,BROOKLYN,NY,"11,201",3257042,2050,1,3020500001,"1,501",BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,2,35,57,25,7,,40.695005,-73.982059,POINT (-73.982059 40.695005)
INGERSOLL,14,33,72,BROOKLYN,107,NAVY WALK,107 NAVY WALK,BROOKLYN,NY,"11,201",3340606,2050,1,3020500001,"1,501",BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,2,35,57,25,7,,40.695014,-73.980505,POINT (-73.980505 40.695014)
INGERSOLL,14,33,73,BROOKLYN,95,NAVY WALK,95 NAVY WALK,BROOKLYN,NY,"11,201",3340606,2050,1,3020500001,"1,501",BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,2,35,57,25,7,,40.695303,-73.980515,POINT (-73.980515 40.695303)
INGERSOLL,14,34,74,BROOKLYN,16,FLEET WALK,16 FLEET WALK,BROOKLYN,NY,"11,201",3257045,2050,1,3020500001,"1,501",BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,2,35,57,25,7,,40.69525,-73.981396,POINT (-73.981396 40.69525)
INGERSOLL,14,34,75,BROOKLYN,8,FLEET WALK,8 FLEET WALK,BROOKLYN,NY,"11,201",3257045,2050,1,3020500001,"1,501",BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,2,35,57,25,7,,40.695487,-73.981424,POINT (-73.981424 40.695487)
INGERSOLL,14,35,76,BROOKLYN,85,NAVY WALK,85 NAVY WALK,BROOKLYN,NY,"11,201",3257046,2050,1,3020500001,"1,501",BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,2,35,57,25,7,,40.695659,-73.980665,POINT (-73.980665 40.695659)
INGERSOLL,14,35,77,BROOKLYN,5,FLEET WALK,5 FLEET WALK,BROOKLYN,NY,"11,201",3257046,2050,1,3020500001,"1,501",BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,2,35,57,25,7,,40.69567,-73.981014,POINT (-73.981014 40.69567)
INTERNATIONAL TOWER,316,1,8,QUEENS,90-20,170TH STREET,90-20 170TH STREET,JAMAICA,NY,"11,432",4209721,9802,41,4098020041,460,QN1201,Jamaica,12,27,29,11,5,,40.70824,-73.790524,POINT (-73.790524 40.70824)
ISAACS,139,1,1,MANHATTAN,419,EAST 93RD STREET,419 EAST 93RD STREET,NEW YORK,NY,"10,128",1082368,1573,1,1015730001,152,MN0803,Upper East Side-Yorkville,8,8,68,29,12,,40.781125,-73.944848,POINT (-73.944848 40.781125)
ISAACS,139,2,2,MANHATTAN,1830,1ST AVENUE,1830 1ST AVENUE,NEW YORK,NY,"10,128",1082366,1573,1,1015730001,152,MN0803,Upper East Side-Yorkville,8,8,68,29,12,,40.782078,-73.944874,POINT (-73.944874 40.782078)
ISAACS,139,3,3,MANHATTAN,1806,1ST AVENUE,1806 1ST AVENUE,NEW YORK,NY,"10,128",1082365,1573,1,1015730001,152,MN0803,Upper East Side-Yorkville,8,8,68,29,12,,40.781577,-73.945557,POINT (-73.945557 40.781577)
JACKSON,120,1,1,BRONX,3080,PARK AVENUE,3080 PARK AVENUE,BRONX,NY,"10,451",2091228,2416,1,2024160001,69,BX0102,Melrose,1,17,79,29,15,,40.823052,-73.918511,POINT (-73.918511 40.823052)
JACKSON,120,2,2,BRONX,300,EAST 158TH STREET,300 EAST 158TH STREET,BRONX,NY,"10,451",2091221,2416,1,2024160001,69,BX0102,Melrose,1,17,79,29,15,,40.82282,-73.917899,POINT (-73.917899 40.82282)
JACKSON,120,3,3,BRONX,785,COURTLANDT AVENUE,785 COURTLANDT AVENUE,BRONX,NY,"10,451",2091223,2416,1,2024160001,69,BX0102,Melrose,1,17,79,29,15,,40.822538,-73.91704,POINT (-73.91704 40.822538)
JACKSON,120,4,4,BRONX,765,COURTLANDT AVENUE,765 COURTLANDT AVENUE,BRONX,NY,"10,451",2091224,2416,1,2024160001,69,BX0102,Melrose,1,17,79,29,15,,40.821813,-73.917416,POINT (-73.917416 40.821813)
JACKSON,120,5,5,BRONX,301,EAST 156TH STREET,301 EAST 156TH STREET,BRONX,NY,"10,451",2091225,2416,1,2024160001,69,BX0102,Melrose,1,17,79,29,15,,40.821908,-73.918391,POINT (-73.918391 40.821908)
JACKSON,120,6,6,BRONX,285,EAST 156TH STREET,285 EAST 156TH STREET,BRONX,NY,"10,451",2091226,2416,1,2024160001,69,BX0102,Melrose,1,17,79,29,15,,40.822115,-73.919014,POINT (-73.919014 40.822115)
JACKSON,120,7,7,BRONX,3050,PARK AVENUE,3050 PARK AVENUE,BRONX,NY,"10,451",2091227,2416,1,2024160001,69,BX0102,Melrose,1,17,79,29,15,,40.822393,-73.919558,POINT (-73.919558 40.822393)
JEFFERSON,64,1,1,MANHATTAN,310,EAST 115TH STREET,310 EAST 115TH STREET,NEW YORK,NY,"10,029",1081086,1684,1,1016840001,180,MN1102,East Harlem (North),11,8,68,29,13,,40.795899,-73.937922,POINT (-73.937922 40.795899)
JEFFERSON,64,1,2,MANHATTAN,2224,2ND AVENUE,2224 2ND AVENUE,NEW YORK,NY,"10,029",1081086,1684,1,1016840001,180,MN1102,East Harlem (North),11,8,68,29,13,,40.79589,-73.938358,POINT (-73.938358 40.79589)
JEFFERSON,64,2,3,MANHATTAN,320,EAST 115TH STREET,320 EAST 115TH STREET,NEW YORK,NY,"10,029",1081088,1684,1,1016840001,180,MN1102,East Harlem (North),11,8,68,29,13,,40.795644,-73.937588,POINT (-73.937588 40.795644)
JEFFERSON,64,2,4,MANHATTAN,322,EAST 115TH STREET,322 EAST 115TH STREET,NEW YORK,NY,"10,029",1081088,1684,1,1016840001,180,MN1102,East Harlem (North),11,8,68,29,13,,40.795538,-73.93763,POINT (-73.93763 40.795538)
JEFFERSON,64,3,5,MANHATTAN,330,EAST 115TH STREET,330 EAST 115TH STREET,NEW YORK,NY,"10,029",1081089,1684,1,1016840001,180,MN1102,East Harlem (North),11,8,68,29,13,,40.795311,-73.937069,POINT (-73.937069 40.795311)
JEFFERSON,64,3,6,MANHATTAN,332,EAST 115TH STREET,332 EAST 115TH STREET,NEW YORK,NY,"10,029",1081089,1684,1,1016840001,180,MN1102,East Harlem (North),11,8,68,29,13,,40.79543,-73.937044,POINT (-73.937044 40.79543)
JEFFERSON,64,4,7,MANHATTAN,2235,1ST AVENUE,2235 1ST AVENUE,NEW YORK,NY,"10,029",1081090,1684,1,1016840001,180,MN1102,East Harlem (North),11,8,68,29,13,,40.795166,-73.936431,POINT (-73.936431 40.795166)
JEFFERSON,64,4,8,MANHATTAN,2225,1ST AVENUE,2225 1ST AVENUE,NEW YORK,NY,"10,029",1081090,1684,1,1016840001,180,MN1102,East Harlem (North),11,8,68,29,13,,40.795088,-73.936558,POINT (-73.936558 40.795088)
JEFFERSON,64,5,9,MANHATTAN,2215,1ST AVENUE,2215 1ST AVENUE,NEW YORK,NY,"10,029",1081096,1684,1,1016840001,180,MN1102,East Harlem (North),11,8,68,29,13,,40.794935,-73.937003,POINT (-73.937003 40.794935)
JEFFERSON,64,6,10,MANHATTAN,2201,1ST AVENUE,2201 1ST AVENUE,NEW YORK,NY,"10,029",1081091,1684,1,1016840001,180,MN1102,East Harlem (North),11,8,68,29,13,,40.794332,-73.937332,POINT (-73.937332 40.794332)
JEFFERSON,64,7,11,MANHATTAN,2185,1ST AVENUE,2185 1ST AVENUE,NEW YORK,NY,"10,029",1081092,1684,1,1016840001,180,MN1102,East Harlem (North),11,8,68,29,13,,40.793982,-73.937361,POINT (-73.937361 40.793982)
JEFFERSON,64,7,12,MANHATTAN,2175,1ST AVENUE,2175 1ST AVENUE,NEW YORK,NY,"10,029",1081092,1684,1,1016840001,180,MN1102,East Harlem (North),11,8,68,29,13,,40.793885,-73.937379,POINT (-73.937379 40.793885)
JEFFERSON,64,8,13,MANHATTAN,337,EAST 112TH STREET,337 EAST 112TH STREET,NEW YORK,NY,"10,029",1081093,1684,1,1016840001,180,MN1102,East Harlem (North),11,8,68,29,13,,40.794211,-73.937872,POINT (-73.937872 40.794211)
JEFFERSON,64,8,14,MANHATTAN,335,EAST 112TH STREET,335 EAST 112TH STREET,NEW YORK,NY,"10,029",1081093,1684,1,1016840001,180,MN1102,East Harlem (North),11,8,68,29,13,,40.794128,-73.937993,POINT (-73.937993 40.794128)
JEFFERSON,64,9,15,MANHATTAN,327,EAST 112TH STREET,327 EAST 112TH STREET,NEW YORK,NY,"10,029",1081094,1684,1,1016840001,180,MN1102,East Harlem (North),11,8,68,29,13,,40.794465,-73.938451,POINT (-73.938451 40.794465)
JEFFERSON,64,9,16,MANHATTAN,325,EAST 112TH STREET,325 EAST 112TH STREET,NEW YORK,NY,"10,029",1081094,1684,1,1016840001,180,MN1102,East Harlem (North),11,8,68,29,13,,40.794364,-73.938548,POINT (-73.938548 40.794364)
JEFFERSON,64,10,17,MANHATTAN,310,EAST 113TH STREET,310 EAST 113TH STREET,NEW YORK,NY,"10,029",1081095,1684,1,1016840001,180,MN1102,East Harlem (North),11,8,68,29,13,,40.79463,-73.938982,POINT (-73.938982 40.79463)
JEFFERSON,64,10,18,MANHATTAN,2190,2ND AVENUE,2190 2ND AVENUE,NEW YORK,NY,"10,029",1081095,1684,1,1016840001,180,MN1102,East Harlem (North),11,8,68,29,13,,40.794657,-73.939145,POINT (-73.939145 40.794657)
JEFFERSON,64,11,19,MANHATTAN,2185,2ND AVENUE,2185 2ND AVENUE,NEW YORK,NY,"10,029",1052513,1662,16,1016620016,180,MN1102,East Harlem (North),11,8,68,29,13,,40.794873,-73.93967,POINT (-73.93967 40.794873)
JEFFERSON,64,11,20,MANHATTAN,250,EAST 113TH STREET,250 EAST 113TH STREET,NEW YORK,NY,"10,029",1052513,1662,16,1016620016,180,MN1102,East Harlem (North),11,8,68,29,13,,40.794979,-73.939797,POINT (-73.939797 40.794979)
JEFFERSON,64,12,21,MANHATTAN,2055,3RD AVENUE,2055 3RD AVENUE,NEW YORK,NY,"10,029",1080703,1662,1,1016620001,180,MN1102,East Harlem (North),11,8,68,29,13,,40.795658,-73.941268,POINT (-73.941268 40.795658)
JEFFERSON,64,12,22,MANHATTAN,205,EAST 112TH STREET,205 EAST 112TH STREET,NEW YORK,NY,"10,029",1080703,1662,1,1016620001,180,MN1102,East Harlem (North),11,8,68,29,13,,40.79552,-73.941299,POINT (-73.941299 40.79552)
JEFFERSON,64,13,23,MANHATTAN,2065,3RD AVENUE,2065 3RD AVENUE,NEW YORK,NY,"10,029",1080704,1662,1,1016620001,180,MN1102,East Harlem (North),11,8,68,29,13,,40.796078,-73.940705,POINT (-73.940705 40.796078)
JEFFERSON,64,13,24,MANHATTAN,2075,3RD AVENUE,2075 3RD AVENUE,NEW YORK,NY,"10,029",1080704,1662,1,1016620001,180,MN1102,East Harlem (North),11,8,68,29,13,,40.796046,-73.940523,POINT (-73.940523 40.796046)
JEFFERSON,64,14,25,MANHATTAN,2095,3RD AVENUE,2095 3RD AVENUE,NEW YORK,NY,"10,029",1080705,1662,1,1016620001,180,MN1102,East Harlem (North),11,8,68,29,13,,40.796743,-73.940477,POINT (-73.940477 40.796743)
JEFFERSON,64,14,26,MANHATTAN,210,EAST 115TH STREET,210 EAST 115TH STREET,NEW YORK,NY,"10,029",1080705,1662,1,1016620001,180,MN1102,East Harlem (North),11,8,68,29,13,,40.79683,-73.940349,POINT (-73.940349 40.79683)
JEFFERSON,64,15,27,MANHATTAN,220,EAST 115TH STREET,220 EAST 115TH STREET,NEW YORK,NY,"10,029",1080706,1662,1,1016620001,180,MN1102,East Harlem (North),11,8,68,29,13,,40.796545,-73.939812,POINT (-73.939812 40.796545)
JEFFERSON,64,15,28,MANHATTAN,218,EAST 115TH STREET,218 EAST 115TH STREET,NEW YORK,NY,"10,029",1080706,1662,1,1016620001,180,MN1102,East Harlem (North),11,8,68,29,13,,40.796582,-73.940018,POINT (-73.940018 40.796582)
JEFFERSON,64,16,29,MANHATTAN,230,EAST 115TH STREET,230 EAST 115TH STREET,NEW YORK,NY,"10,029",1080707,1662,1,1016620001,180,MN1102,East Harlem (North),11,8,68,29,13,,40.796325,-73.939298,POINT (-73.939298 40.796325)
JEFFERSON,64,16,30,MANHATTAN,228,EAST 115TH STREET,228 EAST 115TH STREET,NEW YORK,NY,"10,029",1080707,1662,1,1016620001,180,MN1102,East Harlem (North),11,8,68,29,13,,40.796358,-73.939486,POINT (-73.939486 40.796358)
JEFFERSON,64,17,31,MANHATTAN,2237,2ND AVENUE,2237 2ND AVENUE,NEW YORK,NY,"10,029",1080708,1662,1,1016620001,180,MN1102,East Harlem (North),11,8,68,29,13,,40.796096,-73.93876,POINT (-73.93876 40.796096)
JEFFERSON,64,17,32,MANHATTAN,2227,2ND AVENUE,2227 2ND AVENUE,NEW YORK,NY,"10,029",1080708,1662,1,1016620001,180,MN1102,East Harlem (North),11,8,68,29,13,,40.796128,-73.938971,POINT (-73.938971 40.796128)
JEFFERSON,64,18,33,MANHATTAN,2215,2ND AVENUE,2215 2ND AVENUE,NEW YORK,NY,"10,029",1080709,1662,1,1016620001,180,MN1102,East Harlem (North),11,8,68,29,13,,40.795644,-73.93944,POINT (-73.93944 40.795644)
JEFFERSON,64,18,34,MANHATTAN,2205,2ND AVENUE,2205 2ND AVENUE,NEW YORK,NY,"10,029",1080709,1662,1,1016620001,180,MN1102,East Harlem (North),11,8,68,29,13,,40.795525,-73.93947,POINT (-73.93947 40.795525)
JOHNSON,17,1,1,MANHATTAN,1581,PARK AVENUE,1581 PARK AVENUE,NEW YORK,NY,"10,029",1079196,1640,1,1016400001,182,MN1102,East Harlem (North),11,8,68,30,13,,40.797177,-73.944049,POINT (-73.944049 40.797177)
JOHNSON,17,2,2,MANHATTAN,1591,PARK AVENUE,1591 PARK AVENUE,NEW YORK,NY,"10,029",1079199,1640,1,1016400001,182,MN1102,East Harlem (North),11,8,68,30,13,,40.797712,-73.943638,POINT (-73.943638 40.797712)
JOHNSON,17,4,3,MANHATTAN,1611,PARK AVENUE,1611 PARK AVENUE,NEW YORK,NY,"10,029",1079198,1640,1,1016400001,182,MN1102,East Harlem (North),11,8,68,30,13,,40.798163,-73.943465,POINT (-73.943465 40.798163)
JOHNSON,17,4,4,MANHATTAN,130,EAST 115TH STREET,130 EAST 115TH STREET,NEW YORK,NY,"10,029",1079198,1640,1,1016400001,182,MN1102,East Harlem (North),11,8,68,30,13,,40.797924,-73.943023,POINT (-73.943023 40.797924)
JOHNSON,17,6,5,MANHATTAN,1850,LEXINGTON AVENUE,1850 LEXINGTON AVENUE,NEW YORK,NY,"10,029",1082330,1640,1,1016400001,182,MN1102,East Harlem (North),11,8,68,30,13,,40.79768,-73.942643,POINT (-73.942643 40.79768)
JOHNSON,17,6,6,MANHATTAN,1840,LEXINGTON AVENUE,1840 LEXINGTON AVENUE,NEW YORK,NY,"10,029",1082330,1640,1,1016400001,182,MN1102,East Harlem (North),11,8,68,30,13,,40.797316,-73.942958,POINT (-73.942958 40.797316)
JOHNSON,17,5,7,MANHATTAN,1830,LEXINGTON AVENUE,1830 LEXINGTON AVENUE,NEW YORK,NY,"10,029",1079195,1640,1,1016400001,182,MN1102,East Harlem (North),11,8,68,30,13,,40.796942,-73.943236,POINT (-73.943236 40.796942)
JOHNSON,17,5,8,MANHATTAN,1810,LEXINGTON AVENUE,1810 LEXINGTON AVENUE,NEW YORK,NY,"10,029",1079195,1640,1,1016400001,182,MN1102,East Harlem (North),11,8,68,30,13,,40.796542,-73.943473,POINT (-73.943473 40.796542)
