development,tds_#,building_#,stairhall#,borough_nycha,house_#,street,address_nycha,city,state,zip_code,bin,block,lot,BBL,census_tract_(2020),neighborhood_tabulation_area_code,neighborhood_tabulation_area_name,community_district,city_council_district,state_assembly_district,state_senate_district,us_congressional_district,privately_managed,latitude_nycha,longitude_nycha,geometry,borough_pluto,tax_block,tax_lot,census_tract_2010,cb2010,council_district,postcode,policeprct,healtharea,address_pluto,zonedist1,zonedist2,zonedist3,zonedist4,ltdheight,bldgclass,landuse,easements,ownertype,ownername,lotarea,bldgarea,resarea,garagearea,strgearea,otherarea,areasource,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,proxcode,irrlotcode,lottype,assessland,assesstot,yearbuilt,yearalter1,yearalter2,histdist,landmark,builtfar,residfar,borocode,bbl,tract2010,xcoord,ycoord,latitude_pluto,longitude_pluto,zonemap,zmcode,appbbl,appdate,plutomapid,dcpedited,notes,bct2020,bctcb2020,yearbuilt_dt,yearalter1_dt,yearalter2_dt,consumption_(kwh),current_charges,borough,consumption_per_unit
LINCOLN,20,1,1,MANHATTAN,60,EAST 135TH STREET,60 EAST 135TH STREET,NEW YORK,NY,"10,037",1081120,1757,20,1017570020,210,MN1102,East Harlem (North),11,9,70,30,13,,40.811366,-73.935405,POINT (-73.935405 40.811366),MN,1757.0,20.0,210.0,4005.0,9.0,10037.0,25.0,1600.0,2101 MADISON AVENUE,R7-2,,,,,D9,3.0,0.0,O,NYC HOUSING AUTHORITY,"256,600","449,600","449,600",0,0,0,2.0,7.0,14.0,710.0,710,686.5,400.0,55.83,175.83,0.0,True,5.0,3825450.0,30814650.0,1947.0,"1,997",0,,,1.75,3.44,1.0,1017570020.0,210.0,1001956.0,234668.0,40.8107675,-73.9360379,6a,,,,1.0,,,1021000.0,10210004003.0,1947-01-01,1997-01-01,,110928971.0,15493314.87,MANHATTAN,156237.98732394367
LINCOLN,20,2,2,MANHATTAN,1980,PARK AVENUE,1980 PARK AVENUE,NEW YORK,NY,"10,037",1081119,1757,20,1017570020,210,MN1102,East Harlem (North),11,9,70,30,13,,40.810594,-73.935609,POINT (-73.935609 40.810594),MN,1757.0,20.0,210.0,4005.0,9.0,10037.0,25.0,1600.0,2101 MADISON AVENUE,R7-2,,,,,D9,3.0,0.0,O,NYC HOUSING AUTHORITY,"256,600","449,600","449,600",0,0,0,2.0,7.0,14.0,710.0,710,686.5,400.0,55.83,175.83,0.0,True,5.0,3825450.0,30814650.0,1947.0,"1,997",0,,,1.75,3.44,1.0,1017570020.0,210.0,1001956.0,234668.0,40.8107675,-73.9360379,6a,,,,1.0,,,1021000.0,10210004003.0,1947-01-01,1997-01-01,,110928971.0,15493314.87,MANHATTAN,156237.98732394367
LINCOLN,20,3,3,MANHATTAN,1960,PARK AVENUE,1960 PARK AVENUE,NEW YORK,NY,"10,037",1081118,1757,20,1017570020,210,MN1102,East Harlem (North),11,9,70,30,13,,40.809994,-73.936063,POINT (-73.936063 40.809994),MN,1757.0,20.0,210.0,4005.0,9.0,10037.0,25.0,1600.0,2101 MADISON AVENUE,R7-2,,,,,D9,3.0,0.0,O,NYC HOUSING AUTHORITY,"256,600","449,600","449,600",0,0,0,2.0,7.0,14.0,710.0,710,686.5,400.0,55.83,175.83,0.0,True,5.0,3825450.0,30814650.0,1947.0,"1,997",0,,,1.75,3.44,1.0,1017570020.0,210.0,1001956.0,234668.0,40.8107675,-73.9360379,6a,,,,1.0,,,1021000.0,10210004003.0,1947-01-01,1997-01-01,,110928971.0,15493314.87,MANHATTAN,156237.98732394367
LINCOLN,20,4,4,MANHATTAN,2101,MADISON AVENUE,2101 MADISON AVENUE,NEW YORK,NY,"10,037",1081117,1757,20,1017570020,210,MN1102,East Harlem (North),11,9,70,30,13,,40.810304,-73.936809,POINT (-73.936809 40.810304),MN,1757.0,20.0,210.0,4005.0,9.0,10037.0,25.0,1600.0,2101 MADISON AVENUE,R7-2,,,,,D9,3.0,0.0,O,NYC HOUSING AUTHORITY,"256,600","449,600","449,600",0,0,0,2.0,7.0,14.0,710.0,710,686.5,400.0,55.83,175.83,0.0,True,5.0,3825450.0,30814650.0,1947.0,"1,997",0,,,1.75,3.44,1.0,1017570020.0,210.0,1001956.0,234668.0,40.8107675,-73.9360379,6a,,,,1.0,,,1021000.0,10210004003.0,1947-01-01,1997-01-01,,110928971.0,15493314.87,MANHATTAN,156237.98732394367
LINCOLN,20,5,5,MANHATTAN,2123,MADISON AVENUE,2123 MADISON AVENUE,NEW YORK,NY,"10,037",1081123,1757,20,1017570020,210,MN1102,East Harlem (North),11,9,70,30,13,,40.810586,-73.936287,POINT (-73.936287 40.810586),MN,1757.0,20.0,210.0,4005.0,9.0,10037.0,25.0,1600.0,2101 MADISON AVENUE,R7-2,,,,,D9,3.0,0.0,O,NYC HOUSING AUTHORITY,"256,600","449,600","449,600",0,0,0,2.0,7.0,14.0,710.0,710,686.5,400.0,55.83,175.83,0.0,True,5.0,3825450.0,30814650.0,1947.0,"1,997",0,,,1.75,3.44,1.0,1017570020.0,210.0,1001956.0,234668.0,40.8107675,-73.9360379,6a,,,,1.0,,,1021000.0,10210004003.0,1947-01-01,1997-01-01,,110928971.0,15493314.87,MANHATTAN,156237.98732394367
LINCOLN,20,5,6,MANHATTAN,2121,MADISON AVENUE,2121 MADISON AVENUE,NEW YORK,NY,"10,037",1081123,1757,20,1017570020,210,MN1102,East Harlem (North),11,9,70,30,13,,40.81076,-73.93665,POINT (-73.93665 40.81076),MN,1757.0,20.0,210.0,4005.0,9.0,10037.0,25.0,1600.0,2101 MADISON AVENUE,R7-2,,,,,D9,3.0,0.0,O,NYC HOUSING AUTHORITY,"256,600","449,600","449,600",0,0,0,2.0,7.0,14.0,710.0,710,686.5,400.0,55.83,175.83,0.0,True,5.0,3825450.0,30814650.0,1947.0,"1,997",0,,,1.75,3.44,1.0,1017570020.0,210.0,1001956.0,234668.0,40.8107675,-73.9360379,6a,,,,1.0,,,1021000.0,10210004003.0,1947-01-01,1997-01-01,,110928971.0,15493314.87,MANHATTAN,156237.98732394367
LINCOLN,20,6,7,MANHATTAN,2135,MADISON AVENUE,2135 MADISON AVENUE,NEW YORK,NY,"10,037",1081122,1757,20,1017570020,210,MN1102,East Harlem (North),11,9,70,30,13,,40.811176,-73.936354,POINT (-73.936354 40.811176),MN,1757.0,20.0,210.0,4005.0,9.0,10037.0,25.0,1600.0,2101 MADISON AVENUE,R7-2,,,,,D9,3.0,0.0,O,NYC HOUSING AUTHORITY,"256,600","449,600","449,600",0,0,0,2.0,7.0,14.0,710.0,710,686.5,400.0,55.83,175.83,0.0,True,5.0,3825450.0,30814650.0,1947.0,"1,997",0,,,1.75,3.44,1.0,1017570020.0,210.0,1001956.0,234668.0,40.8107675,-73.9360379,6a,,,,1.0,,,1021000.0,10210004003.0,1947-01-01,1997-01-01,,110928971.0,15493314.87,MANHATTAN,156237.98732394367
LINCOLN,20,6,8,MANHATTAN,2133,MADISON AVENUE,2133 MADISON AVENUE,NEW YORK,NY,"10,037",1081122,1757,20,1017570020,210,MN1102,East Harlem (North),11,9,70,30,13,,40.811029,-73.935955,POINT (-73.935955 40.811029),MN,1757.0,20.0,210.0,4005.0,9.0,10037.0,25.0,1600.0,2101 MADISON AVENUE,R7-2,,,,,D9,3.0,0.0,O,NYC HOUSING AUTHORITY,"256,600","449,600","449,600",0,0,0,2.0,7.0,14.0,710.0,710,686.5,400.0,55.83,175.83,0.0,True,5.0,3825450.0,30814650.0,1947.0,"1,997",0,,,1.75,3.44,1.0,1017570020.0,210.0,1001956.0,234668.0,40.8107675,-73.9360379,6a,,,,1.0,,,1021000.0,10210004003.0,1947-01-01,1997-01-01,,110928971.0,15493314.87,MANHATTAN,156237.98732394367
LINCOLN,20,7,9,MANHATTAN,2155,MADISON AVENUE,2155 MADISON AVENUE,NEW YORK,NY,"10,037",1081121,1757,20,1017570020,210,MN1102,East Harlem (North),11,9,70,30,13,,40.811564,-73.935898,POINT (-73.935898 40.811564),MN,1757.0,20.0,210.0,4005.0,9.0,10037.0,25.0,1600.0,2101 MADISON AVENUE,R7-2,,,,,D9,3.0,0.0,O,NYC HOUSING AUTHORITY,"256,600","449,600","449,600",0,0,0,2.0,7.0,14.0,710.0,710,686.5,400.0,55.83,175.83,0.0,True,5.0,3825450.0,30814650.0,1947.0,"1,997",0,,,1.75,3.44,1.0,1017570020.0,210.0,1001956.0,234668.0,40.8107675,-73.9360379,6a,,,,1.0,,,1021000.0,10210004003.0,1947-01-01,1997-01-01,,110928971.0,15493314.87,MANHATTAN,156237.98732394367
LINCOLN,20,8,10,MANHATTAN,2150,MADISON AVENUE,2150 MADISON AVENUE,NEW YORK,NY,"10,037",1081112,1757,1,1017570001,210,MN1102,East Harlem (North),11,9,70,30,13,,40.811946,-73.936506,POINT (-73.936506 40.811946),MN,1757.0,1.0,210.0,3000.0,9.0,10037.0,25.0,1600.0,2161 5 AVENUE,R7-2,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"249,211","360,000","360,000",0,0,0,2.0,7.0,14.0,527.0,527,559.5,420.0,80.83,115.83,0.0,True,5.0,3825450.0,13720500.0,1947.0,"1,997",0,,,1.44,3.44,1.0,1017570001.0,210.0,1001532.0,234870.0,40.8113227,-73.937569,6a,,,,1.0,,,1021000.0,10210003000.0,1947-01-01,1997-01-01,,110928971.0,15493314.87,MANHATTAN,210491.40607210627
LINCOLN,20,8,11,MANHATTAN,2144,MADISON AVENUE,2144 MADISON AVENUE,NEW YORK,NY,"10,037",1081112,1757,1,1017570001,210,MN1102,East Harlem (North),11,9,70,30,13,,40.811638,-73.936688,POINT (-73.936688 40.811638),MN,1757.0,1.0,210.0,3000.0,9.0,10037.0,25.0,1600.0,2161 5 AVENUE,R7-2,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"249,211","360,000","360,000",0,0,0,2.0,7.0,14.0,527.0,527,559.5,420.0,80.83,115.83,0.0,True,5.0,3825450.0,13720500.0,1947.0,"1,997",0,,,1.44,3.44,1.0,1017570001.0,210.0,1001532.0,234870.0,40.8113227,-73.937569,6a,,,,1.0,,,1021000.0,10210003000.0,1947-01-01,1997-01-01,,110928971.0,15493314.87,MANHATTAN,210491.40607210627
LINCOLN,20,9,12,MANHATTAN,2130,MADISON AVENUE,2130 MADISON AVENUE,NEW YORK,NY,"10,037",1081114,1757,1,1017570001,210,MN1102,East Harlem (North),11,9,70,30,13,,40.811246,-73.937167,POINT (-73.937167 40.811246),MN,1757.0,1.0,210.0,3000.0,9.0,10037.0,25.0,1600.0,2161 5 AVENUE,R7-2,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"249,211","360,000","360,000",0,0,0,2.0,7.0,14.0,527.0,527,559.5,420.0,80.83,115.83,0.0,True,5.0,3825450.0,13720500.0,1947.0,"1,997",0,,,1.44,3.44,1.0,1017570001.0,210.0,1001532.0,234870.0,40.8113227,-73.937569,6a,,,,1.0,,,1021000.0,10210003000.0,1947-01-01,1997-01-01,,110928971.0,15493314.87,MANHATTAN,210491.40607210627
LINCOLN,20,10,13,MANHATTAN,2110,MADISON AVENUE,2110 MADISON AVENUE,NEW YORK,NY,"10,037",1081115,1757,1,1017570001,210,MN1102,East Harlem (North),11,9,70,30,13,,40.810768,-73.937331,POINT (-73.937331 40.810768),MN,1757.0,1.0,210.0,3000.0,9.0,10037.0,25.0,1600.0,2161 5 AVENUE,R7-2,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"249,211","360,000","360,000",0,0,0,2.0,7.0,14.0,527.0,527,559.5,420.0,80.83,115.83,0.0,True,5.0,3825450.0,13720500.0,1947.0,"1,997",0,,,1.44,3.44,1.0,1017570001.0,210.0,1001532.0,234870.0,40.8113227,-73.937569,6a,,,,1.0,,,1021000.0,10210003000.0,1947-01-01,1997-01-01,,110928971.0,15493314.87,MANHATTAN,210491.40607210627
LINCOLN,20,10,14,MANHATTAN,2102,MADISON AVENUE,2102 MADISON AVENUE,NEW YORK,NY,"10,037",1081115,1757,1,1017570001,210,MN1102,East Harlem (North),11,9,70,30,13,,40.810497,-73.937598,POINT (-73.937598 40.810497),MN,1757.0,1.0,210.0,3000.0,9.0,10037.0,25.0,1600.0,2161 5 AVENUE,R7-2,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"249,211","360,000","360,000",0,0,0,2.0,7.0,14.0,527.0,527,559.5,420.0,80.83,115.83,0.0,True,5.0,3825450.0,13720500.0,1947.0,"1,997",0,,,1.44,3.44,1.0,1017570001.0,210.0,1001532.0,234870.0,40.8113227,-73.937569,6a,,,,1.0,,,1021000.0,10210003000.0,1947-01-01,1997-01-01,,110928971.0,15493314.87,MANHATTAN,210491.40607210627
LINCOLN,20,11,15,MANHATTAN,2120,MADISON AVENUE,2120 MADISON AVENUE,NEW YORK,NY,"10,037",1081116,1757,1,1017570001,210,MN1102,East Harlem (North),11,9,70,30,13,,40.811049,-73.937792,POINT (-73.937792 40.811049),MN,1757.0,1.0,210.0,3000.0,9.0,10037.0,25.0,1600.0,2161 5 AVENUE,R7-2,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"249,211","360,000","360,000",0,0,0,2.0,7.0,14.0,527.0,527,559.5,420.0,80.83,115.83,0.0,True,5.0,3825450.0,13720500.0,1947.0,"1,997",0,,,1.44,3.44,1.0,1017570001.0,210.0,1001532.0,234870.0,40.8113227,-73.937569,6a,,,,1.0,,,1021000.0,10210003000.0,1947-01-01,1997-01-01,,110928971.0,15493314.87,MANHATTAN,210491.40607210627
LINCOLN,20,12,16,MANHATTAN,2175,5TH AVENUE,2175 5TH AVENUE,NEW YORK,NY,"10,037",1081110,1757,1,1017570001,210,MN1102,East Harlem (North),11,9,70,30,13,,40.811181,-73.938389,POINT (-73.938389 40.811181),MN,1757.0,1.0,210.0,3000.0,9.0,10037.0,25.0,1600.0,2161 5 AVENUE,R7-2,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"249,211","360,000","360,000",0,0,0,2.0,7.0,14.0,527.0,527,559.5,420.0,80.83,115.83,0.0,True,5.0,3825450.0,13720500.0,1947.0,"1,997",0,,,1.44,3.44,1.0,1017570001.0,210.0,1001532.0,234870.0,40.8113227,-73.937569,6a,,,,1.0,,,1021000.0,10210003000.0,1947-01-01,1997-01-01,,110928971.0,15493314.87,MANHATTAN,210491.40607210627
LINCOLN,20,12,17,MANHATTAN,2177,5TH AVENUE,2177 5TH AVENUE,NEW YORK,NY,"10,037",1081110,1757,1,1017570001,210,MN1102,East Harlem (North),11,9,70,30,13,,40.811443,-73.938122,POINT (-73.938122 40.811443),MN,1757.0,1.0,210.0,3000.0,9.0,10037.0,25.0,1600.0,2161 5 AVENUE,R7-2,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"249,211","360,000","360,000",0,0,0,2.0,7.0,14.0,527.0,527,559.5,420.0,80.83,115.83,0.0,True,5.0,3825450.0,13720500.0,1947.0,"1,997",0,,,1.44,3.44,1.0,1017570001.0,210.0,1001532.0,234870.0,40.8113227,-73.937569,6a,,,,1.0,,,1021000.0,10210003000.0,1947-01-01,1997-01-01,,110928971.0,15493314.87,MANHATTAN,210491.40607210627
LINCOLN,20,13,18,MANHATTAN,2199,5TH AVENUE,2199 5TH AVENUE,NEW YORK,NY,"10,037",1081111,1757,1,1017570001,210,MN1102,East Harlem (North),11,9,70,30,13,,40.811755,-73.937886,POINT (-73.937886 40.811755),MN,1757.0,1.0,210.0,3000.0,9.0,10037.0,25.0,1600.0,2161 5 AVENUE,R7-2,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"249,211","360,000","360,000",0,0,0,2.0,7.0,14.0,527.0,527,559.5,420.0,80.83,115.83,0.0,True,5.0,3825450.0,13720500.0,1947.0,"1,997",0,,,1.44,3.44,1.0,1017570001.0,210.0,1001532.0,234870.0,40.8113227,-73.937569,6a,,,,1.0,,,1021000.0,10210003000.0,1947-01-01,1997-01-01,,110928971.0,15493314.87,MANHATTAN,210491.40607210627
LINCOLN,20,13,19,MANHATTAN,2201,5TH AVENUE,2201 5TH AVENUE,NEW YORK,NY,"10,037",1081111,1757,1,1017570001,210,MN1102,East Harlem (North),11,9,70,30,13,,40.812068,-73.937741,POINT (-73.937741 40.812068),MN,1757.0,1.0,210.0,3000.0,9.0,10037.0,25.0,1600.0,2161 5 AVENUE,R7-2,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"249,211","360,000","360,000",0,0,0,2.0,7.0,14.0,527.0,527,559.5,420.0,80.83,115.83,0.0,True,5.0,3825450.0,13720500.0,1947.0,"1,997",0,,,1.44,3.44,1.0,1017570001.0,210.0,1001532.0,234870.0,40.8113227,-73.937569,6a,,,,1.0,,,1021000.0,10210003000.0,1947-01-01,1997-01-01,,110928971.0,15493314.87,MANHATTAN,210491.40607210627
LINCOLN,20,14,20,MANHATTAN,2140,MADISON AVENUE,2140 MADISON AVENUE,NEW YORK,NY,"10,037",1081113,1757,1,1017570001,210,MN1102,East Harlem (North),11,9,70,30,13,,40.81175,-73.93728,POINT (-73.93728 40.81175),MN,1757.0,1.0,210.0,3000.0,9.0,10037.0,25.0,1600.0,2161 5 AVENUE,R7-2,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"249,211","360,000","360,000",0,0,0,2.0,7.0,14.0,527.0,527,559.5,420.0,80.83,115.83,0.0,True,5.0,3825450.0,13720500.0,1947.0,"1,997",0,,,1.44,3.44,1.0,1017570001.0,210.0,1001532.0,234870.0,40.8113227,-73.937569,6a,,,,1.0,,,1021000.0,10210003000.0,1947-01-01,1997-01-01,,110928971.0,15493314.87,MANHATTAN,210491.40607210627
LONG ISLAND BAPTIST HOUSES,276,1,31,BROOKLYN,550,SUTTER AVENUE,550 SUTTER AVENUE,BROOKLYN,NY,"11,207",3328034,3768,18,3037680018,"1,134",BK0502,East New York (North),5,42,60,19,8,,40.668707,-73.898623,POINT (-73.898623 40.668707),BK,3768.0,18.0,1134.0,1005.0,42.0,11207.0,75.0,5900.0,550 SUTTER AVENUE,C4-3,,,,,D6,4.0,0.0,O,NYC HOUSING AUTHORITY,"20,000","35,386","29,556",0,0,0,2.0,2.0,6.0,30.0,31,200,100,93.0,64.0,1.0,False,3.0,315000.0,1870200.0,1940.0,0,0,,,1.77,2.43,3.0,3037680018.0,1134.0,1012428.0,182904.0,40.6686611,-73.8984251,17d,,,,1.0,t,,3113400.0,31134001005.0,1940-01-01,,,6266100.0,787764.75,BROOKLYN,208870.0
LONG ISLAND BAPTIST HOUSES,276,2,32,BROOKLYN,398,SHEFFIELD AVENUE,398 SHEFFIELD AVENUE,BROOKLYN,NY,"11,207",3328050,3787,1,3037870001,"1,156",BK0502,East New York (North),5,42,60,19,8,,40.667488,-73.89586,POINT (-73.89586 40.667488),BK,3787.0,1.0,1156.0,2001.0,42.0,11207.0,75.0,6100.0,398 SHEFFIELD AVENUE,R6,,,,,D1,3.0,0.0,O,NYC HOUSING AUTHORITY,"68,250","138,984","138,984",0,0,0,2.0,2.0,6.0,146.0,146,500,195,118.0,186.0,1.0,True,3.0,306900.0,5021550.0,1948.0,0,0,,,2.04,2.43,3.0,3037870001.0,1156.0,1013106.0,182248.0,40.6668583,-73.8959839,17d,,,,1.0,,,3115600.0,31156002001.0,1948-01-01,,,6266100.0,787764.75,BROOKLYN,42918.49315068493
LONG ISLAND BAPTIST HOUSES,276,3,33,BROOKLYN,428,SHEFFIELD AVENUE,428 SHEFFIELD AVENUE,BROOKLYN,NY,"11,207",3328051,3787,1,3037870001,"1,156",BK0502,East New York (North),5,42,60,19,8,,40.666381,-73.895586,POINT (-73.895586 40.666381),BK,3787.0,1.0,1156.0,2001.0,42.0,11207.0,75.0,6100.0,398 SHEFFIELD AVENUE,R6,,,,,D1,3.0,0.0,O,NYC HOUSING AUTHORITY,"68,250","138,984","138,984",0,0,0,2.0,2.0,6.0,146.0,146,500,195,118.0,186.0,1.0,True,3.0,306900.0,5021550.0,1948.0,0,0,,,2.04,2.43,3.0,3037870001.0,1156.0,1013106.0,182248.0,40.6668583,-73.8959839,17d,,,,1.0,,,3115600.0,31156002001.0,1948-01-01,,,6266100.0,787764.75,BROOKLYN,42918.49315068493
LONG ISLAND BAPTIST HOUSES,276,4,34,BROOKLYN,340,WILLIAMS AVENUE,340 WILLIAMS AVENUE,BROOKLYN,NY,"11,207",3084282,3767,36,3037670036,"1,134",BK0502,East New York (North),5,42,60,19,8,,40.667522,-73.898828,POINT (-73.898828 40.667522),BK,3767.0,36.0,1134.0,1004.0,42.0,11207.0,75.0,5900.0,340 WILLIAMS AVENUE,R6,,,,,D1,3.0,0.0,O,NYC HOUSING AUTHORITY,"20,000","85,932","85,932",0,0,0,2.0,1.0,6.0,56.0,56,200,100,186.0,77.0,0.0,False,5.0,81000.0,2847600.0,1940.0,0,0,,,4.3,2.43,3.0,3037670036.0,1134.0,1012290.0,182518.0,40.667602,-73.8989242,17d,,,,1.0,,,3113400.0,31134001004.0,1940-01-01,,,6266100.0,787764.75,BROOKLYN,111894.64285714286
LONGFELLOW AVENUE REHAB,362,1,89,BRONX,1091,LONGFELLOW AVENUE,1091 LONGFELLOW AVENUE,BRONX,NY,"10,459",2006277,2757,20,2027570020,"12,102",BX0202,Longwood,2,17,85,32,14,YES,40.825976,-73.888064,POINT (-73.888064 40.825976),BX,2757.0,20.0,121.02,1001.0,17.0,10459.0,41.0,2900.0,1091 LONGFELLOW AVENUE,R7-1,,,,,C1,2.0,0.0,O,NYC HOUSING AUTHORITY,"10,000","34,735","34,735",0,0,0,2.0,1.0,5.0,27.0,27,100,100,100.0,87.0,0.0,False,5.0,58500.0,833850.0,1925.0,"1,989",0,,,3.47,3.44,2.0,2027570020.0,12102.0,1015211.0,240223.0,40.8259779,-73.8881292,6c,,,,1.0,t,,2012102.0,20121021001.0,1925-01-01,1989-01-01,,2997935.0,374142.05,BRONX,111034.62962962964
LONGFELLOW AVENUE REHAB,362,2,90,BRONX,1102,LONGFELLOW AVENUE,1102 LONGFELLOW AVENUE,BRONX,NY,"10,459",2006290,2757,80,2027570080,"12,102",BX0202,Longwood,2,17,85,32,14,YES,40.82649,-73.887646,POINT (-73.887646 40.82649),BX,2757.0,80.0,121.02,1000.0,17.0,10459.0,41.0,2900.0,1102 LONGFELLOW AVENUE,R7-1,,,,,C1,2.0,0.0,O,NYC HOUSING AUTHORITY,"17,900","57,825","57,825",0,0,0,2.0,1.0,6.0,48.0,48,104.25,118.75,118.0,105.0,0.0,True,3.0,99000.0,1183500.0,1925.0,"1,990",0,,,3.23,3.44,2.0,2027570080.0,12102.0,1015367.0,240422.0,40.8265235,-73.8875646,6c,True,,,1.0,,,2012102.0,20121021000.0,1925-01-01,1990-01-01,,2997935.0,374142.05,BRONX,62456.979166666664
LOW HOUSES,169,1,21,BROOKLYN,180,POWELL STREET,180 POWELL STREET,BROOKLYN,NY,"11,212",3327014,3727,1,3037270001,908,BK1602,Brownsville,16,41,55,25,8,,40.670154,-73.904761,POINT (-73.904761 40.670154),BK,3727.0,1.0,908.0,2003.0,41.0,11212.0,73.0,5700.0,163 CHRISTOPHER AVENUE,R6,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"184,000","387,560","379,540",0,0,0,2.0,3.0,18.0,536.0,536,460,400,70.0,100.0,1.0,False,3.0,3726000.0,13912200.0,1967.0,0,0,,,2.11,2.43,3.0,3037270001.0,908.0,1010613.0,183345.0,40.6698771,-73.904966,17d,,,,1.0,,,3090800.0,30908002002.0,1967-01-01,,,57144803.0,8183491.11,BROOKLYN,106613.43843283581
LOW HOUSES,169,2,22,BROOKLYN,131,BELMONT AVENUE,131 BELMONT AVENUE,BROOKLYN,NY,"11,212",3327015,3727,1,3037270001,908,BK1602,Brownsville,16,41,55,25,8,,40.669449,-73.905425,POINT (-73.905425 40.669449),BK,3727.0,1.0,908.0,2003.0,41.0,11212.0,73.0,5700.0,163 CHRISTOPHER AVENUE,R6,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"184,000","387,560","379,540",0,0,0,2.0,3.0,18.0,536.0,536,460,400,70.0,100.0,1.0,False,3.0,3726000.0,13912200.0,1967.0,0,0,,,2.11,2.43,3.0,3037270001.0,908.0,1010613.0,183345.0,40.6698771,-73.904966,17d,,,,1.0,,,3090800.0,30908002002.0,1967-01-01,,,57144803.0,8183491.11,BROOKLYN,106613.43843283581
LOW HOUSES,169,3,23,BROOKLYN,157,BELMONT AVENUE,157 BELMONT AVENUE,BROOKLYN,NY,"11,212",3327013,3727,1,3037270001,908,BK1602,Brownsville,16,41,55,25,8,,40.669729,-73.904403,POINT (-73.904403 40.669729),BK,3727.0,1.0,908.0,2003.0,41.0,11212.0,73.0,5700.0,163 CHRISTOPHER AVENUE,R6,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"184,000","387,560","379,540",0,0,0,2.0,3.0,18.0,536.0,536,460,400,70.0,100.0,1.0,False,3.0,3726000.0,13912200.0,1967.0,0,0,,,2.11,2.43,3.0,3037270001.0,908.0,1010613.0,183345.0,40.6698771,-73.904966,17d,,,,1.0,,,3090800.0,30908002002.0,1967-01-01,,,57144803.0,8183491.11,BROOKLYN,106613.43843283581
LOW HOUSES,169,4,24,BROOKLYN,365,SACKMAN STREET,365 SACKMAN STREET,BROOKLYN,NY,"11,212",3084013,3745,1,3037450001,908,BK1602,Brownsville,16,41,55,25,8,,40.668983,-73.904493,POINT (-73.904493 40.668983),BK,3745.0,1.0,908.0,3001.0,41.0,11212.0,73.0,5700.0,365 SACKMAN STREET,R6,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"80,000","115,332","107,100",0,0,0,2.0,1.0,17.0,131.0,131,200,400,40.5,143.0,0.0,False,3.0,1980000.0,4948200.0,1966.0,0,0,,,1.44,2.43,3.0,3037450001.0,908.0,1010829.0,182916.0,40.668699,-73.9041891,17d,,,,1.0,,,3090800.0,30908003001.0,1966-01-01,,,57144803.0,8183491.11,BROOKLYN,436219.8702290076
LOWER EAST SIDE I INFILL,326,1,11,MANHATTAN,175,ELDRIDGE STREET,175 ELDRIDGE STREET,NEW YORK,NY,"10,002",1005602,420,62,1004200062,18,MN0302,Lower East Side,3,1,65,27,10,,40.720373,-73.990965,POINT (-73.990965 40.720373),MN,420.0,62.0,18.0,4001.0,1.0,10002.0,5.0,7400.0,175 ELDRIDGE STREET,C4-4A,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"15,138","61,380","61,380",0,0,0,2.0,1.0,9.0,72.0,72,151.17,100.5,116.0,58.0,1.0,True,5.0,72000.0,6907500.0,1988.0,0,0,,,4.05,4.0,1.0,1004200062.0,18.0,986706.0,201711.0,40.7203264,-73.9911399,12c,,,,1.0,t,,1001800.0,10018004001.0,1988-01-01,,,6214620.0,1018392.0,MANHATTAN,86314.16666666667
LOWER EAST SIDE I INFILL,326,2,12,MANHATTAN,190,FORSYTHE STREET,190 FORSYTHE STREET,NEW YORK,NY,"10,002",1077629,421,52,1004210052,"3,601",MN0302,Lower East Side,3,1,65,27,10,,40.721873,-73.990945,POINT (-73.990945 40.721873),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6214620.0,1018392.0,MANHATTAN,
